state-population-area-density
UttarPradesh,199812341,240928,828
Maharashtra,112372972,307713,365
Bihar,103804637,94163,1102
WestBengal,91347736,88752,1029
MadhyaPradesh,72597565,308245,36
TamilNadu,72138958,130058,555
Rajasthan,68621012,342239,201
Karnataka,61130704,191791,319
Gujarat,60383628,196024,308
